k, pmf, cmf
0, 0.09090909090909094, 0.09090909090909094
1, 0.08264462809917358, 0.17355371900826452
2, 0.07513148009015778, 0.2486851990984223
3, 0.06830134553650707, 0.31698654463492937
4, 0.06209213230591553, 0.3790786769408449
5, 0.05644739300537776, 0.43552606994622267
6, 0.05131581182307068, 0.4868418817692933
7, 0.046650738020973345, 0.5334926197902666
8, 0.0424097618372485, 0.5759023816275152
9, 0.038554328942953166, 0.6144567105704684
10, 0.03504938994813925, 0.6495061005186076
11, 0.03186308177103568, 0.6813691822896433
12, 0.028966437973668803, 0.7103356202633121
13, 0.026333125430608006, 0.73666874569392
14, 0.02393920493691636, 0.7606079506308364
15, 0.021762913579014876, 0.7823708642098512
16, 0.019784466890013515, 0.8021553310998648
17, 0.01798587899092138, 0.8201412100907862
18, 0.0163507990826558, 0.836492009173442
19, 0.014864362802414367, 0.8513563719758563
20, 0.013513057093103971, 0.8648694290689604
21, 0.012284597357367236, 0.8771540264263276
22, 0.01116781577942477, 0.8883218422057523
23, 0.010152559799477056, 0.8984744020052293
24, 0.009229599817706416, 0.9077040018229358
25, 0.008390545288824016, 0.9160945471117597
26, 0.0076277684443854694, 0.9237223155561453
27, 0.006934334949441336, 0.9306566505055865
28, 0.006303940863128483, 0.936960591368715
29, 0.005730855330116808, 0.9426914466988319
30, 0.005209868481924366, 0.9479013151807563
31, 0.004736244074476697, 0.952637559255233
32, 0.004305676431342453, 0.9569432356865755
33, 0.003914251301220412, 0.9608574869877958
34, 0.003558410273836738, 0.9644158972616326
35, 0.0032349184307606687, 0.9676508156923932
36, 0.002940834937055156, 0.9705916506294483
37, 0.0026734863064137764, 0.973265136935862
38, 0.002430442096739797, 0.9756955790326018
39, 0.0022094928152179972, 0.9779050718478198
40, 0.0020086298320163612, 0.9799137016798362
41, 0.0018260271200148742, 0.981739728799851
42, 0.0016600246545589751, 0.98339975345441
43, 0.0015091133223263426, 0.9849088667767364
44, 0.0013719212021148558, 0.9862807879788512
45, 0.0012472010928316882, 0.9875279890716829
46, 0.0011338191753015338, 0.9886618082469845
47, 0.0010307447048195754, 0.989692552951804
48, 0.0009370406407450695, 0.9906295935925491
49, 0.0008518551279500624, 0.9914814487204991
50, 0.0007744137526818758, 0.992255862473181
51, 0.0007040125024380683, 0.9929598749756191
52, 0.00064001136585279, 0.9935998863414719
53, 0.0005818285144116268, 0.9941817148558835
54, 0.0005289350131014785, 0.9947106498689849
55, 0.0004808500119104355, 0.9951914998808954
56, 0.0004371363744640319, 0.9956286362553595
57, 0.0003973967040582112, 0.9960260329594177
58, 0.0003612697309620099, 0.9963873026903797
59, 0.00032842702814728204, 0.996715729718527
60, 0.000298570025588438, 0.9970142997441154
61, 0.00027142729598948886, 0.9972857270401049
62, 0.00024675208726317193, 0.9975324791273681
63, 0.00022432007933015613, 0.9977567992066982
64, 0.00020392734484559667, 0.9979607265515439
65, 0.00018538849531417865, 0.998146115046858
66, 0.00016853499574016257, 0.9983146500425982
67, 0.00015321363249105676, 0.9984678636750893
68, 0.00013928512044641514, 0.9986071487955357
69, 0.00012662283676946842, 0.9987337716323051
70, 0.00011511166979042575, 0.9988488833020955
71, 0.00010464697253675079, 0.9989535302746323
72, 9.51336113970461e-05, 0.9990486638860293
73, 8.648510127004198e-05, 0.9991351489872994
74, 7.862281933640174e-05, 0.9992137718066357
75, 7.147529030581971e-05, 0.9992852470969416
76, 6.497753664165434e-05, 0.9993502246335833
77, 5.9070487856049356e-05, 0.9994092951214393
78, 5.370044350549947e-05, 0.9994629955649448
79, 4.881858500499948e-05, 0.9995118141499498
80, 4.438053182272684e-05, 0.9995561946817726
81, 4.034593802066073e-05, 0.9995965406197933
82, 3.667812547332791e-05, 0.9996332187452667
83, 3.334375043029813e-05, 0.999666562495697
84, 3.0312500391180095e-05, 0.9996968749960882
85, 2.755681853743648e-05, 0.9997244318146256
86, 2.5051653215851324e-05, 0.9997494834678414
87, 2.277423019622846e-05, 0.9997722576980377
88, 2.070384563293498e-05, 0.9997929615436706
89, 1.8821677848122696e-05, 0.9998117832215188
90, 1.7110616225566103e-05, 0.9998288938377443
91, 1.5555105659605535e-05, 0.999844448943404
92, 1.4141005145095955e-05, 0.999858589948549
93, 1.2855459222814496e-05, 0.9998714454077718
94, 1.1686781111649531e-05, 0.9998831321888835
95, 1.062434646513595e-05, 0.9998937565353486
96, 9.658496786487218e-06, 0.9999034150321351
